"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"CD4060BE","Texas Instruments","296-2060-ND","","","Tube","Active","2","0.53000","$1.06","3599","12 Weeks","IC BNRY COUNTR/DIV 14STG 16-DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"CD4027BE","Texas Instruments","296-2044-ND","","","Tube","Active","2","0.53000","$1.06","5985","6 Weeks","IC FF JK TYPE DUAL 1BIT 16DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"CD74HC390E","Texas Instruments","296-9199-5-ND","","","Tube","Active","10","0.61700","$6.17","4003","6 Weeks","IC DUAL DECADE RIP CNTR 16-DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"CD4543BE","Texas Instruments","296-2079-5-ND","","","Tube","Active","5","0.50000","$2.50","3975","6 Weeks","IC BCD-7SEG LTCH/DECD/DRVR 16DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"CD74HCT688E","Texas Instruments","296-2131-5-ND","","","Tube","Active","2","0.83000","$1.66","2934","6 Weeks","IC COMPARATOR IDENTITY 8B 20DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"SN74HC04N","Texas Instruments","296-1566-5-ND","","","Tube","Active","2","0.53000","$1.06","12019","6 Weeks","IC INVERTER 6CH 6-INP 14DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"LFXTAL002997BULK","IQD Frequency Products","1923-1729-ND","","","Bulk","Active","5","0.21000","$1.05","8019","8 Weeks","CRYSTAL 32.7680KHZ 12.5PF T/H","RoHS Compliant","Lead free","Not Available","Tariff Eligible"
"860020672001","Wurth Electronics Inc.","732-8847-1-ND","","","Cut Tape (CT)","Active","20","0.10000","$2.00","1992","24 Weeks","CAP ALUM 0.1UF 20% 50V RADIAL","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"K330J15C0GF5TL2","Vishay BC Components","BC1007CT-ND","","","Cut Tape (CT)","Active","10","0.17900","$1.79","21977","10 Weeks","CAP CER 33PF 50V C0G/NP0 RADIAL","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"INND-TS40RCB","Inolux","1830-1155-ND","","","Tube","Active","4","1.10000","$4.40","5896","9 Weeks","7-SEG. DISPLAY THROUGH HOLE","RoHS Compliant","Lead free","Not Available",""
"210-8MS","CTS Electrocomponents","CT2108MS-ND","","","Tube","Active","2","0.78000","$1.56","1802","10 Weeks","SWITCH SLIDE DIP SPST 100MA 20V","RoHS Compliant","Lead free","Not Available",""
